"question","answer"
"que es comuny-t","1"
"que es comunyt","1"
"quien puede invertir con comuny-t","2"
"quien puede invertir con comunyt","2"
"como es el proceso de inversion","3"
"cuanto tarda","3"
"con que monedas puedo invertir","4"
"que es un token","5"
"que es la tokenizacion","5"
"como me registro","6"
"cuanto es el minimo que puedo invertir","7"
"desde cuantos dolares puedo invertir","7"
"como realizo retiro de dinero","8"
"como minimizamos el riesgo de tu inversion","9"
"riesgo","9"
"riesgos","9"
"que comisiones cobra comuny-t a los inversores","10"
"que comisiones cobra comunyt a los inversores","10"
"que comision cobra comuny-t a los inversores","10"
"comision","10"
"que comision cobra comunyt a los inversores","10"
"comuny-t","1"
"comunyt","1"
"explicarme comuny-t","1"
"significa comuny-t","1"
"definicion comuny-t","1"
"descripcion comuny-t","1"
"informacion comuny-t","1"
"caracteristicas comuny-t","1"
"consiste comuny-t","1"
"definir comuny-t","1"
"contarme comuny-t","1"
"hablar comuny-t funcionalidad","1"
"invertir comuny-t","2"
"puede invertir comuny-t","2"
"quien invertir comuny-t","2"
"quien puede invertir comuny-t","2"
"quien puede participar comuny-t","2"
"quien tiene acceso a invertir comuny-t","2"
"quien esta autorizado a invertir comuny-t","2"
"quien califica para invertir comuny-t","2"
"quien puede hacer inversiones en comuny-t","2"
"quien es elegible para invertir comuny-t","2"
"quien puede ser inversor en comuny-t","2"
"explicarme comunyt","1"
"significa comunyt","1"
"definicion comunyt","1"
"descripcion comunyt","1"
"informacion comunyt","1"
"caracteristicas comunyt","1"
"consiste comunyt","1"
"definir comunyt","1"
"contarme comunyt","1"
"hablar comunyt funcionalidad","1"
"invertir comunyt","2"
"puede invertir comunyt","2"
"quien invertir comunyt","2"
"quien puede invertir comunyt","2"
"quien puede participar comunyt","2"
"quien tiene acceso a invertir comunyt","2"
"quien esta autorizado a invertir comunyt","2"
"quien califica para invertir comunyt","2"
"quien puede hacer inversiones en comunyt","2"
"quien es elegible para invertir comunyt","2"
"quien puede ser inversor en comunyt","2"
"proceso inversion","3"
"como proceso inversion","3"
"como es proceso inversion","3"
"como funciona proceso inversion","3"
"como realizar inversion","3"
"como se lleva a cabo inversion","3"
"como se realiza proceso inversion","3"
"como se desarrolla proceso inversion","3"
"como hacer inversion","3"
"como se estructura proceso inversion","3"
"como se maneja proceso inversion","3"
"tarda","3"
"cuanto tarda","3"
"cuanto tiempo toma","3"
"cuanto dura el proceso","3"
"cuanto tiempo se necesita","3"
"cuanto demora","3"
"cuanto lleva","3"
"cuanto tiempo requiere","3"
"cuanto tarda en completarse","3"
"cuanto tiempo se tarda","3"
"cuanto tiempo se emplea","3"
"monedas invertir","4"
"monedas invertir","4"
"con que puedo invertir","4"
"con que monedas puedo participar","4"
"que monedas aceptan para invertir","4"
"que opciones de monedas tengo para invertir","4"
"cuales son las monedas aceptadas para invertir","4"
"en que monedas puedo hacer inversiones","4"
"con que tipo de monedas puedo invertir","4"
"cuales son las opciones de monedas para invertir","4"
"que monedas puedo utilizar para invertir","4"
"token","5"
"que token","5"
"que significa token","5"
"definicion token","5"
"descripcion token","5"
"explicacion token","5"
"que es un token digital","5"
"que se entiende por token","5"
"cual es el concepto de token","5"
"que es exactamente un token","5"
"como se define un token","5"
"tokenizacion","5"
"que tokenizacion","5"
"que significa tokenizacion","5"
"definicion tokenizacion","5"
"descripcion tokenizacion","5"
"explicacion tokenizacion","5"
"que es la tecnica de tokenizacion","5"
"que implica la tokenizacion","5"
"cual es el concepto de tokenizacion","5"
"que es exactamente la tokenizacion","5"
"como se define la tokenizacion","5"
"registro","6"
"como registro","6"
"como puedo registrarme","6"
"como realizar registro","6"
"como me inscribo","6"
"como hacer registro","6"
"como completar el proceso de registro","6"
"como accedo al registro","6"
"como iniciar el proceso de registro","6"
"como obtener una cuenta registrada","6"
"como crear una cuenta en el registro","6"
"minimo invertir","7"
"cuanto es el minimo a invertir","7"
"desde cuanto se puede entrar","7"
"desde cuanto se puede invertir","7"
"desde cuanto invertir","7"
"cuanto puede entrar","7"
"cuanto minimo invertir","7"
"cual es minimo invertir","7"
"cuanto es cantidad minima para invertir","7"
"cual es el limite minimo de inversion","7"
"cuanto puedo invertir como minimo","7"
"como determinar el minimo de inversion","7"
"cuanto necesito como minimo para invertir","7"
"cual es el monto minimo de inversion","7"
"cuanto es el minimo requerido para invertir","7"
"cual es el importe minimo para invertir","7"
"retiro dinero","8"
"como retiro dinero","8"
"cuanto cash out","8"
"cash out","8"
"cuanto cash out","8"
"como puedo realizar un retiro de dinero","8"
"como hacer un retiro de dinero","8"
"como llevar a cabo un retiro de dinero","8"
"como efectuar un retiro de dinero","8"
"como realizar una extraccion de dinero","8"
"como proceder con un retiro de dinero","8"
"como ejecutar un retiro de dinero","8"
"como solicitar un retiro de dinero","8"
"minimizamos riesgo inversion","9"
"cuales son riesgos","9"
"como minimizamos riesgo inversion","9"
"como se reduce riesgo inversion","9"
"como mitigamos riesgo inversion","9"
"como protegemos tu inversion del riesgo","9"
"como disminuimos el riesgo de tu inversion","9"
"como garantizamos seguridad en la inversion","9"
"como aseguramos que tu inversion sea segura","9"
"como protegemos tus fondos de inversion","9"
"como controlamos el riesgo de tu inversion","9"
"como gestionamos el riesgo de tu inversion","9"
"comisiones cobra comuny-t inversores","10"
"comisiones cobra comuny-t inversores","10"
"cuales son las comisiones de comuny-t para inversores","10"
"que tarifas aplica comuny-t a los inversores","10"
"que costos estan asociados a los inversores en comuny-t","10"
"como se estructuran las comisiones de comuny-t para inversores","10"
"cual es el cobro de comisiones de comuny-t a los inversores","10"
"que comisiones se aplican a los inversores en comuny-t","10"
"cuales son los cargos que comuny-t cobra a los inversores","10"
"que porcentaje de comisiones se cobra a los inversores en comuny-t","10"
"como se calculan las comisiones que cobra comuny-t a los inversores","10"
"comisiones cobra comunyt inversores","10"
"comisiones cobra comunyt inversores","10"
"cuales son las comisiones de comunyt para inversores","10"
"que tarifas aplica comunyt a los inversores","10"
"que costos estan asociados a los inversores en comunyt","10"
"como se estructuran las comisiones de comunyt para inversores","10"
"cual es el cobro de comisiones de comunyt a los inversores","10"
"que comisiones se aplican a los inversores en comunyt","10"
"cuales son los cargos que comunyt cobra a los inversores","10"
"que porcentaje de comisiones se cobra a los inversores en comunyt","10"
"como se calculan las comisiones que cobra comunyt a los inversores","10"
"comuny-t plataforma tokenizacion permite usuarios realizar inversiones diferentes tipos proyectos, forma facil, rapida segura, transacciones alojadas red blockchain. intermediamos desarrollador proyecto miembros comunidad democratizar barrera acceso negocios grandes tickets. equipo profesionales analiza posibilidades inversion, realizando estudio economico/financiero, riesgo legal proyecto, luego presentarlo comunidad. ingresos mantenimiento plataforma obtienen mediante cobro comision 5% inversores 5% desarrolladores, fondeo proyecto.","1"
"comunyt plataforma tokenizacion permite usuarios realizar inversiones diferentes tipos proyectos, forma facil, rapida segura, transacciones alojadas red blockchain. intermediamos desarrollador proyecto miembros comunidad democratizar barrera acceso negocios grandes tickets. equipo profesionales analiza posibilidades inversion, realizando estudio economico/financiero, riesgo legal proyecto, luego presentarlo comunidad. ingresos mantenimiento plataforma obtienen mediante cobro comision 5% inversores 5% desarrolladores, fondeo proyecto.","1"
"comuny-t permite cualquier persona cualquier lugar mundo invertir proyectos disponibles plataforma. cualquier usuario mayor edad puede registrarse invertir pasar proceso kyc.","2"
"comunyt permite cualquier persona cualquier lugar mundo invertir proyectos disponibles plataforma. cualquier usuario mayor edad puede registrarse invertir pasar proceso kyc.","2"
"es rapido facil, llevar unos pocos minutos 3 sencillos pasos. registrate realizando proceso validacion usuario (kyc). ingresa dinero plataforma. elige proyecto invertir compra tokens proyecto. tanto ingreso dinero compra tokens proyectos necesario firmes correspondientes contratos adhesion.","3"
"podes invertir pesos argentinos dolares mediante transferencia bancaria. tambien usdt. finalizar proceso registro, asignara automaticamente wallet digital, caso querer invertir traves usdt, puedas hacerlo enviando alli dinero. al ingresar dinero plataforma asignaran ctusd (comuny-t tokens) paridad 1=1 dolar, manera tenencias estaran siempre dolarizadas. caso pesos argentinos transformaran dolar mep (proyectos argentina) contado liquidacion (proyectos exterior) valor oficial dia acredite transferencia. acreditacion dinero puede demorar maximo 48h habiles.","4"
"podes invertir pesos argentinos dolares mediante transferencia bancaria. tambien usdt. finalizar proceso registro, asignara automaticamente wallet digital, caso querer invertir traves usdt, puedas hacerlo enviando alli dinero. al ingresar dinero plataforma asignaran ctusd (comunyt tokens) paridad 1=1 dolar, manera tenencias estaran siempre dolarizadas. caso pesos argentinos transformaran dolar mep (proyectos argentina) contado liquidacion (proyectos exterior) valor oficial dia acredite transferencia. acreditacion dinero puede demorar maximo 48h habiles.","4"
"un token representacion digital activo blockchain. tokenizacion acto digitalizar activo manera token capture represente valor bien quede registrado blockchain.","5"
"accede plataforma, pulsa "registrarme" y a continuacion guiaremos proceso. tendras adjuntar copia documento validar identidad.","6"
"comuny-t eliminamos barrera acceso inversiones. todo miembro comunidad invertir desde usd1 proyecto disponible plataforma.","7"
"comunyt eliminamos barrera acceso inversiones. todo miembro comunidad invertir desde usd1 proyecto disponible plataforma.","7"
"tener dinero disponible plataforma y querer realizar cash out, podes hacerlo ingresando 'retirar dinero' dentro perfil usuario. el costo comision retiro 1.2%, con un limite inferior de comisión de usd2. la operacion puede demorar maximo 48h habiles.","8"
"no forma eliminar completo riesgo inversiones, pero existen estrategias minimizar riesgo. antes realizar cualquier inversion, investiga exhaustivamente activo interesado. comprende rendimiento historico, factores afectan perspectivas futuras. cuanto mas sepas sobre inversiones, mejores decisiones vas a tomar. no recomendable poner todos huevos sola canasta. distribui capital entre diferentes tipos activos. esto ayuda reducir exposicion eventos negativos puedan afectar solo activo. antes realizar inversion, evalua cuidadosamente riesgo potencial comparacion recompensa esperada. busca activos ofrezcan equilibrio adecuado entre riesgo potencial rendimiento. nuestro equipo profesionales realiza exhaustivo analisis proyecto, viabilidad, riesgos, retornos estimados, estructura juridica-legal, entre otros aspectos, usuario cuente mas mejores herramientas hora decidir realizar inversion.","9"
"por proyecto fondeado, comuny-t cobra 5% comision dinero aportado inversores. en caso retiro dinero, comision 1.2%, con un limite inferior de comisión de usd2.","10"
"por proyecto fondeado, comunyt cobra 5% comision dinero aportado inversores. en caso retiro dinero, comision 1.2%, con un limite inferior de comisión de usd2.","10"
"comuny-t eliminamos barrera acceso inversiones. todo miembro comunidad invertir desde 1 dolar proyecto disponible plataforma.","7"
"comunyt eliminamos barrera acceso inversiones. todo miembro comunidad invertir desde 1 dolar proyecto disponible plataforma.","7"
"tener dinero disponible plataforma y querer realizar cash out, podes hacerlo ingresando 'retirar dinero' dentro perfil usuario. el costo comision retiro 1.2%, con un limite inferior de comisión de 2 dolares. la operacion puede demorar maximo 48h habiles.","8"
"no forma eliminar completo riesgo inversiones, pero existen estrategias minimizar riesgo. antes realizar cualquier inversion, investiga exhaustivamente activo interesado. comprende rendimiento historico, factores afectan perspectivas futuras. cuanto mas sepas sobre inversiones, mejores decisiones vas a tomar. no recomendable poner todos huevos sola canasta. distribui capital entre diferentes tipos activos. esto ayuda reducir exposicion eventos negativos puedan afectar solo activo. antes realizar inversion, evalua cuidadosamente riesgo potencial comparacion recompensa esperada. busca activos ofrezcan equilibrio adecuado entre riesgo potencial rendimiento. nuestro equipo profesionales realiza exhaustivo analisis proyecto, viabilidad, riesgos, retornos estimados, estructura juridica-legal, entre otros aspectos, usuario cuente mas mejores herramientas hora decidir realizar inversion.","9"
"por proyecto fondeado, comuny-t cobra 5% comision dinero aportado inversores. en caso retiro dinero, comision 1.2%, con un limite inferior de comisión de 2 dolares.","10"
"por proyecto fondeado, comunyt cobra 5% comision dinero aportado inversores. en caso retiro dinero, comision 1.2%, con un limite inferior de comisión de 2 dolares.","10"
"hola","11"
"hola como estas","11"
"como estas","11"
"como andas","11"
"chau","12"
"chao","12"
"adios","12"
"whatsapp","13"
"whats app","13"
"tienen whatsapp","13"
"comunicarme representante","13"
"representante","13"
"atencion cliente","13"
"cliente","13"
"hola","11"
"hola como estas","11"
"como estas","11"
"como andas","11"
"chau","12"
"chao","12"
"adios","12"
"whatsapp","13"
"whats app","13"
"tienen whatsapp","13"
"comunicarme representante","13"
"representante","13"
"atencion cliente","13"
"cliente","13"
